# Australian postcodes of the "Solar home electricity" dataset
# located with [Google Maps Geocoding API](https://developers.google.com/maps/documentation/geocoding/start)
# Pierre Haessig, May 2017
postcode,lat,lng,dlat_km,dlng_km,area_km2
2008,-33.8878872,151.1964025,1.17895532924223,1.7666126699185636,2.082757421907335
2010,-33.8825595,151.2131584,2.039637419948519,2.5590925282735424,5.219620881777381
2018,-33.9219899,151.20733,3.230835310613587,2.408995764206797,7.7830685781178826
2021,-33.8921203,151.2306446,3.2561432759173567,2.5675097783137186,8.360179700508278
2025,-33.8865002,151.2437606,1.1423166009121215,2.2567863956392284,2.577964564451322
2026,-33.8922511,151.2714535,2.556738306816677,2.59023971059348,6.622565091912094
2029,-33.8754209,151.265623,2.447767278705185,2.4337240626711316,5.957190126003843
2031,-33.9122447,151.2393885,3.536777031783545,4.301904334812439,15.214876444294703
2034,-33.9236193,151.2539627,3.00632163422575,1.5895858884966032,4.778806446047299
2037,-33.8802599,151.1840188,1.6272932734725514,1.8315661719514198,2.9804953115364157
2039,-33.8661553,151.1738213,1.611081053166358,2.438890965041115,3.9292510245163546
2041,-33.8583166,151.1781916,2.0219685461044317,2.5768743064730537,5.210358794953186
2044,-33.921824,151.1665377,3.0089569539872096,2.84997497201116,8.575452010722483
2046,-33.8566687,151.1315813,3.3930464696028646,3.526216491456085,11.964616417390468
2047,-33.8523805,151.1548847,2.227034229822409,2.105716991953657,4.689503819399472
2048,-33.8920561,151.165081,1.364917724561444,1.3909689566075614,1.8985581831883984
2066,-33.8126017,151.1694511,4.129901889998163,3.7170600352750385,15.35109326491902
2074,-33.6867425,151.1577979,11.410434190021745,7.300888073628899,83.30630289285718
2076,-33.7085861,151.1228434,6.834674002656388,5.293552582079914,36.17970621443618
2077,-33.6924088,151.0995447,10.154743241902114,5.413221359767515,54.96987302001935
2079,-33.6709087,151.125756,4.110987632976114,5.73814277450848,23.58943398225561
2081,-33.5769126,151.1694511,13.864250472735183,6.442107220469786,89.31498807680896
2082,-33.5988104,151.134494,13.043921020907298,6.210622536774369,81.0108698603518
2084,-33.6363689,151.2219013,15.311430204029637,13.917533120393431,213.09733698517482
2085,-33.7293236,151.2044159,5.382023480971086,5.333334055578197,28.704129118984607
2086,-33.7473073,151.2248157,3.270809886742511,5.3702349091554495,17.565017434995415
2087,-33.773259,151.2160726,8.792171730291845,7.007598560462138,61.612009960529036
2088,-33.8303776,151.2393885,5.558167364269778,3.7409406207693094,20.7927740700311
2092,-33.7927181,151.2423032,2.9390931815761587,1.988256100828602,5.8436699491725435
2093,-33.8055737,151.2627078,5.539597811520405,4.581344020994453,25.378803312522965
2096,-33.7738038,151.2889461,2.4442423995296547,2.3868909189675422,5.834139987192768
2099,-33.7500081,151.2860306,5.798759827050276,5.411393248396169,31.379369777170798
2100,-33.76459790000001,151.2627078,7.890747818462509,5.149469535601243,40.633165504284655
2111,-33.8296098,151.125756,3.4301522166240175,3.284134245308187,11.265080361234723
2119,-33.7551665,151.0646032,2.817957428489809,3.826444028167501,10.782756373875078
2120,-33.7274311,151.0762495,6.6469436080026165,4.249332642607216,28.245074447054904
2126,-33.72874669999999,151.0413133,4.000604429296325,3.893948101644284,15.578146022888138
2134,-33.8799121,151.1024569,2.215114133685868,1.591028720332795,3.5243102055093143
2135,-33.8808808,151.0762495,3.0390574206300593,3.6755772891040404,11.170290435550951
2137,-33.8543494,151.1024569,3.918942875167892,3.616207710664972,14.171711442837685
2154,-33.7270691,150.9947439,5.965974757738566,6.329584624167065,37.762142094750864
2159,-33.5876386,151.0704263,17.88232362500688,11.552021784925806,206.57699208117288
2162,-33.883427,151.006385,3.8984607696807947,3.2617662214712273,12.715867654275538
2190,-33.90558,151.0529578,4.136996126318031,3.6818221303592917,15.23168389108839
2196,-33.92931310000001,151.0558691,3.042971482047863,4.818167814135042,14.661547254133822
2198,-33.9183098,150.9831038,3.9193987743677208,3.101426625169318,12.155727713480042
2200,-33.9200458,151.0296696,3.578363934348695,5.096346031819734,18.23658083722482
2203,-33.9041707,151.1374068,2.0924216516264744,1.8945012109066668,3.9640953527336835
2204,-33.9086291,151.1548847,3.1595593626342393,3.545230359256692,11.201365774284628
2205,-33.9378099,151.1490585,2.291660721188924,2.9076235627817018,6.663286710830223
2207,-33.9541086,151.1228434,3.8187006487988713,3.3444430655496666,12.771426904285399
2208,-33.9379361,151.0995447,2.7039381507081255,2.5758715772751644,6.96499742911903
2209,-33.9454921,151.0791612,2.7746470045620693,2.778994603214001,7.710729051501884
2211,-33.9608964,151.0296696,4.909545118166185,2.479039123998098,12.170954428967837
2216,-33.9531396,151.1490585,2.706061973807363,3.600241234350648,9.74247590080957
2218,-33.9712426,151.1199309,2.4113620597213883,2.1116165878458903,5.091872124609916
2219,-33.9946489,151.1315813,2.9798461221912094,3.2454033859858757,9.670802694676233
2220,-33.9583688,151.0995447,3.918375781041698,2.8041956041375995,10.987892140556363
2224,-34.0094315,151.0995447,3.4084914449141452,3.204438506364444,10.922301234696668
2227,-34.043981,151.0849848,4.021909377240726,2.2957227247568555,9.233188754244226
2228,-34.03825,151.1024569,4.596342368286813,2.8173533163900224,12.949520414556824
2229,-34.0460194,151.1228434,7.824275491315035,3.932451485397953,30.768583777984606
2230,-34.0621862,151.1461455,7.240668918821021,4.283515728712652,31.01551920017068
2231,-34.0194134,151.1985879,4.60100143571315,9.023674005214314,41.51793705339849
2233,-34.1193032,151.0704263,16.35314875480569,21.65834656068497,354.18216309001554
2250,-33.3502247,151.1869325,47.63609560590369,34.64340550157275,1650.2765765870095
2251,-33.4721323,151.38519,10.575093423096819,10.726864814464355,113.43759754989067
2259,-33.2059456,151.3501856,31.312457984629855,40.151374462332676,1257.2382258769321
2260,-33.4287117,151.4377107,9.064866168396062,8.422681881365015,76.35048403354823
2261,-33.3603327,151.4318742,13.422161683381837,14.662616863987502,196.8040142499214
2262,-33.2075583,151.5428026,10.025701529531387,10.59713480320678,106.24371060516052
2263,-33.2504355,151.5077645,10.055257141033632,9.859707235581569,99.14189158908253
2264,-33.1186851,151.4552213,13.96646084930669,17.664017033828877,246.7038023444575
2265,-33.0641471,151.4435474,12.853377394609728,17.75861390345562,228.25816650627846
