,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
0.0,0.0012000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001200000000000017,0.012,0.012
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006599999999999966,0.012
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
6.0,0.007800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011399999999999971,0.012,0.012,0.012,0.012,0.012,0.012,0.01340000000000002,0.03259999999999996,0.038
6.5,0.023200000000000005,0.0,0.0,0.0,0.0,0.00960000000000001,0.012,0.012,0.012,0.020400000000000022,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.029599999999999967,0.038,0.038,0.038,0.03920000000000002,0.05,0.062
7.0,0.05433333333333335,0.0,0.012,0.024600000000000007,0.026000000000000002,0.026000000000000002,0.038,0.038,0.03979999999999998,0.05,0.05,0.05599999999999998,0.062,0.062,0.062,0.062,0.0725,0.076,0.08379999999999999,0.08920000000000003,0.1,0.11199999999999999
7.5,0.11679999999999996,0.012,0.05,0.06080000000000001,0.062,0.062,0.062,0.07179999999999999,0.08800000000000001,0.09520000000000002,0.10129999999999997,0.13199999999999998,0.138,0.138,0.138,0.14159999999999998,0.15,0.162,0.1711,0.188,0.20119999999999993,0.226
8.0,0.17826666666666663,0.05,0.076,0.0868,0.08800000000000001,0.08800000000000001,0.1,0.10839999999999998,0.126,0.13320000000000004,0.1772,0.206,0.22529999999999997,0.226,0.23620000000000002,0.23800000000000002,0.23800000000000002,0.24040000000000006,0.25,0.262,0.28289999999999993,0.312
8.5,0.24740000000000004,0.05,0.09080000000000002,0.126,0.126,0.14520000000000002,0.1655,0.17600000000000002,0.17779999999999999,0.19520000000000004,0.21389999999999995,0.256,0.28669999999999995,0.326,0.326,0.33799999999999997,0.347,0.35,0.35,0.36200000000000004,0.3762999999999999,0.4
9.0,0.30146666666666666,0.05,0.062,0.10700000000000001,0.126,0.17560000000000006,0.191,0.20839999999999997,0.23979999999999999,0.2572,0.3127,0.326,0.3373999999999999,0.3928,0.42210000000000003,0.42599999999999993,0.426,0.43799999999999994,0.4458,0.46199999999999997,0.4620000000000001,0.462
9.5,0.3538666666666666,0.026000000000000002,0.0791,0.15580000000000002,0.2,0.2096,0.2745,0.312,0.31589999999999996,0.3452,0.35059999999999997,0.36200000000000004,0.37529999999999997,0.3928,0.41020000000000006,0.44099999999999984,0.47600000000000003,0.5148,0.526,0.5379999999999999,0.5446,0.55
10.0,0.42899999999999994,0.038,0.11330000000000003,0.19760000000000003,0.21199999999999997,0.26320000000000005,0.3185,0.3464,0.3954999999999999,0.4452,0.47600000000000003,0.482,0.488,0.49279999999999996,0.5221,0.5613999999999999,0.588,0.5904,0.6,0.612,0.612,0.626
10.5,0.4718666666666667,0.026000000000000002,0.17370000000000002,0.2096,0.22949999999999998,0.3132000000000001,0.33799999999999997,0.3645999999999999,0.3898,0.4456000000000001,0.4772,0.5,0.5246999999999999,0.582,0.612,0.6416,0.65,0.6524,0.662,0.6759999999999999,0.6825999999999999,0.7120000000000001
11.0,0.5092666666666665,0.012,0.1,0.20080000000000003,0.2753,0.33039999999999997,0.35949999999999993,0.41459999999999997,0.488,0.4952,0.5506,0.581,0.6,0.6308,0.6703,0.6759999999999999,0.694,0.7,0.7078,0.7120000000000001,0.7120000000000001,0.762
11.5,0.5468666666666666,0.038,0.1159,0.17340000000000003,0.3019,0.35,0.387,0.497,0.5278,0.5452,0.562,0.587,0.6366999999999999,0.6927999999999999,0.7102,0.726,0.735,0.738,0.7458,0.75,0.7708999999999999,0.85
12.0,0.6081333333333334,0.038,0.0922,0.23620000000000005,0.38439999999999996,0.4548000000000001,0.51,0.5928,0.6194999999999999,0.6776,0.7012999999999999,0.726,0.726,0.738,0.7482,0.7535999999999999,0.762,0.762,0.7710999999999999,0.7892,0.8,0.826
12.5,0.5856666666666666,0.05,0.09340000000000001,0.29080000000000006,0.3253,0.43000000000000005,0.494,0.5301999999999999,0.5379999999999999,0.5680000000000001,0.6302999999999999,0.7190000000000001,0.726,0.7308,0.738,0.7415999999999999,0.75,0.762,0.762,0.7759999999999999,0.7957999999999998,0.826
13.0,0.6118666666666669,0.038,0.12290000000000004,0.3596000000000001,0.4211,0.5084000000000001,0.5445,0.6182,0.6278,0.638,0.7005999999999999,0.7120000000000001,0.7120000000000001,0.7176,0.726,0.738,0.738,0.75,0.7578,0.7646000000000001,0.8011999999999999,0.812
