,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
5.0,0.3864754098360652,0.004,0.20850000000000002,0.255,0.28,0.304,0.322,0.332,0.34,0.348,0.3620000000000001,0.37200000000000005,0.384,0.4,0.411,0.42899999999999994,0.444,0.462,0.4885,0.51,0.6024999999999999,0.8859999999999999
5.5,0.4363442622950821,0.006,0.2355,0.27399999999999997,0.308,0.326,0.34,0.348,0.3715,0.38,0.3939999999999999,0.408,0.42,0.44,0.4565,0.47600000000000003,0.5095000000000001,0.536,0.585,0.6479999999999999,0.746,1.024
6.0,0.6347650273224046,0.11599999999999999,0.23299999999999998,0.29,0.324,0.35600000000000004,0.38249999999999995,0.40399999999999997,0.43949999999999995,0.498,0.5445,0.599,0.6704999999999999,0.74,0.7835,0.817,0.8465,0.882,0.9390000000000001,0.984,1.1395,2.206
6.5,0.5754043715846997,0.128,0.23750000000000002,0.28800000000000003,0.3135,0.336,0.36200000000000004,0.402,0.4315,0.462,0.49049999999999994,0.516,0.544,0.586,0.6505000000000001,0.6899999999999997,0.7295,0.774,0.8365,0.931,1.0255,2.548
7.0,0.5766393442622952,0.14,0.25,0.299,0.32799999999999996,0.354,0.37250000000000005,0.4,0.42,0.44799999999999995,0.46799999999999997,0.49699999999999994,0.522,0.5579999999999999,0.603,0.663,0.7309999999999999,0.8059999999999999,0.8925000000000001,0.994,1.1215000000000002,1.82
7.5,0.604437158469945,0.146,0.24650000000000002,0.318,0.35200000000000004,0.37799999999999995,0.41200000000000003,0.429,0.4515,0.47600000000000003,0.49,0.5309999999999999,0.5589999999999999,0.58,0.6065,0.6609999999999998,0.722,0.82,0.9065,0.968,1.121,2.714
8.0,0.5617322404371587,0.17600000000000002,0.23,0.272,0.31,0.34,0.36,0.384,0.414,0.434,0.462,0.48499999999999993,0.508,0.5379999999999999,0.5830000000000001,0.6319999999999999,0.7244999999999999,0.7759999999999999,0.859,0.9410000000000001,1.0644999999999998,2.1519999999999997
8.5,0.5573387978142077,0.126,0.23199999999999998,0.284,0.31,0.32799999999999996,0.35600000000000004,0.378,0.4,0.42200000000000004,0.45,0.47200000000000003,0.5075,0.542,0.596,0.649,0.6895,0.762,0.8320000000000001,0.929,1.1244999999999998,2.43
9.0,0.5410382513661202,0.152,0.2605,0.301,0.3175,0.336,0.35650000000000004,0.374,0.39349999999999996,0.41200000000000003,0.428,0.46099999999999997,0.48749999999999993,0.522,0.5660000000000001,0.6009999999999998,0.671,0.752,0.819,0.9079999999999999,1.0355,2.48
9.5,0.5482404371584694,0.11800000000000001,0.24,0.293,0.3255,0.35200000000000004,0.365,0.382,0.39749999999999996,0.41600000000000004,0.436,0.45699999999999996,0.488,0.526,0.5705,0.611,0.6779999999999999,0.73,0.7985,0.885,1.0295,2.698
10.0,0.5664207650273229,0.17600000000000002,0.254,0.28700000000000003,0.32649999999999996,0.35200000000000004,0.37200000000000005,0.393,0.41200000000000003,0.43799999999999994,0.4744999999999999,0.5009999999999999,0.54,0.57,0.6124999999999999,0.6639999999999999,0.7154999999999999,0.752,0.8245,0.922,1.0619999999999998,1.994
10.5,0.5986174863387977,0.142,0.2625,0.311,0.3435,0.364,0.38249999999999995,0.402,0.42,0.44799999999999995,0.472,0.5059999999999999,0.55,0.594,0.634,0.6889999999999998,0.7815000000000001,0.8340000000000001,0.8959999999999999,0.979,1.1254999999999997,2.8339999999999996
11.0,0.6248087431693989,0.14400000000000002,0.2605,0.311,0.34750000000000003,0.374,0.39399999999999996,0.41200000000000003,0.44099999999999995,0.46399999999999997,0.496,0.5269999999999999,0.5720000000000001,0.604,0.662,0.715,0.7915000000000001,0.858,0.9420000000000001,1.024,1.17,2.964
11.5,0.6542732240437161,0.11599999999999999,0.3025,0.34199999999999997,0.36949999999999994,0.38799999999999996,0.41650000000000004,0.43899999999999995,0.4634999999999999,0.486,0.524,0.5589999999999999,0.612,0.6559999999999999,0.716,0.7679999999999998,0.8340000000000001,0.9079999999999999,0.9775,1.066,1.1875,2.79
12.0,0.7122185792349729,0.188,0.32199999999999995,0.357,0.40099999999999997,0.424,0.457,0.48200000000000004,0.5275,0.5720000000000001,0.616,0.6469999999999999,0.6779999999999999,0.722,0.7765,0.8249999999999997,0.878,0.924,1.0085,1.101,1.2945,2.9739999999999998
12.5,0.7569234972677596,0.198,0.3205,0.376,0.418,0.462,0.511,0.5549999999999999,0.6044999999999998,0.6559999999999999,0.7024999999999999,0.736,0.772,0.8140000000000001,0.8485,0.893,0.9269999999999999,0.968,1.028,1.09,1.2690000000000001,2.946
13.0,0.8023442622950822,0.166,0.3365,0.41800000000000004,0.48,0.528,0.586,0.624,0.6779999999999999,0.716,0.7534999999999998,0.78,0.8179999999999997,0.85,0.8805000000000001,0.923,0.9520000000000001,0.9940000000000001,1.0305,1.149,1.2965,3.108
13.5,0.8229398907103824,0.16399999999999998,0.3345,0.41800000000000004,0.4985,0.5479999999999999,0.6204999999999999,0.662,0.6994999999999999,0.736,0.7809999999999999,0.8009999999999999,0.8414999999999999,0.872,0.9059999999999999,0.93,0.9765,1.018,1.088,1.185,1.3425,3.282
14.0,0.8420382513661204,0.19,0.34450000000000003,0.439,0.5215000000000001,0.59,0.638,0.7,0.7409999999999999,0.778,0.7994999999999999,0.847,0.8700000000000001,0.892,0.9184999999999999,0.948,0.9755,1.014,1.068,1.157,1.3119999999999998,3.332
14.5,0.8313825136612017,0.156,0.3705,0.44899999999999995,0.497,0.596,0.6579999999999999,0.7010000000000001,0.745,0.7659999999999999,0.7925,0.8269999999999998,0.8540000000000001,0.878,0.8985,0.931,0.976,1.012,1.0665,1.1440000000000001,1.3800000000000001,3.468
