,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
12.0,0.4941366120218577,0.012,0.1,0.156,0.20900000000000002,0.25,0.312,0.36200000000000004,0.40899999999999986,0.462,0.526,0.5760000000000001,0.588,0.612,0.626,0.65,0.685,0.7120000000000001,0.726,0.75,0.7759999999999999,0.838
12.5,0.5007868852459006,0.0,0.079,0.138,0.188,0.226,0.312,0.35,0.4,0.47600000000000003,0.5379999999999999,0.5819999999999996,0.6,0.612,0.638,0.662,0.7,0.738,0.75,0.7759999999999999,0.8,0.888
13.0,0.5085136612021851,0.0,0.0655,0.119,0.17600000000000002,0.226,0.312,0.376,0.44699999999999984,0.526,0.562,0.588,0.6089999999999997,0.626,0.638,0.6819999999999996,0.7120000000000001,0.738,0.75,0.7879999999999999,0.812,0.9
13.5,0.5029016393442619,0.026000000000000002,0.079,0.126,0.188,0.23800000000000002,0.3,0.36200000000000004,0.45000000000000007,0.512,0.55,0.562,0.588,0.612,0.638,0.6759999999999999,0.7,0.7120000000000001,0.762,0.7879999999999999,0.812,0.888
14.0,0.4716229508196723,0.012,0.076,0.1,0.138,0.188,0.25,0.306,0.3879999999999999,0.45,0.5,0.5379999999999999,0.55,0.5760000000000001,0.612,0.638,0.662,0.7120000000000001,0.762,0.7879999999999999,0.812,0.862
14.5,0.4372677595628412,0.0,0.05,0.082,0.11199999999999999,0.162,0.212,0.28800000000000003,0.35,0.4,0.462,0.47600000000000003,0.5,0.526,0.562,0.588,0.612,0.65,0.738,0.762,0.7879999999999999,0.838
15.0,0.3949617486338797,0.0,0.038,0.062,0.11199999999999999,0.162,0.191,0.25,0.276,0.33799999999999997,0.376,0.4,0.426,0.45,0.488,0.526,0.562,0.638,0.6910000000000001,0.738,0.762,0.812
15.5,0.3396284153005461,0.0,0.029000000000000005,0.05,0.076,0.126,0.15,0.20600000000000002,0.25,0.28800000000000003,0.3,0.326,0.33799999999999997,0.36200000000000004,0.391,0.4439999999999996,0.47250000000000003,0.588,0.638,0.6759999999999999,0.7120000000000001,0.7759999999999999
16.0,0.27441530054644786,0.0,0.012,0.032,0.05,0.05,0.076,0.1,0.13499999999999984,0.162,0.188,0.226,0.25,0.3,0.33799999999999997,0.36899999999999966,0.45,0.5379999999999999,0.588,0.612,0.659,0.726
16.5,0.20267213114754085,0.0,0.0,0.0,0.0,0.012,0.012,0.026000000000000002,0.038,0.05,0.076,0.11199999999999999,0.15,0.2,0.23800000000000002,0.276,0.41200000000000003,0.462,0.5,0.55,0.588,0.626
17.0,0.14703278688524593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00899999999999983,0.026000000000000002,0.038,0.05,0.07249999999999959,0.08800000000000001,0.126,0.21899999999999958,0.28800000000000003,0.376,0.41200000000000003,0.462,0.509,0.55
17.5,0.1060601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.026000000000000002,0.05,0.08800000000000001,0.138,0.226,0.276,0.312,0.36200000000000004,0.41200000000000003,0.462
18.0,0.06615300546448093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.038,0.062,0.076,0.11199999999999999,0.15,0.179,0.219,0.3,0.33799999999999997
18.5,0.03096721311475413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.026000000000000002,0.038,0.05,0.076,0.11199999999999999,0.17600000000000002,0.25
19.0,0.010016393442622945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.012,0.026000000000000002,0.038,0.0725,0.11199999999999999
19.5,0.0013989071038251373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.038
20.0,0.00032786885245901634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
20.5,0.00022950819672131145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
21.0,0.0002950819672131147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
21.5,0.0002622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
22.0,0.0001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
22.5,0.00013114754098360657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
23.0,0.00022950819672131145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
23.5,0.00032786885245901634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
