,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
7.0,0.666516129032258,0.314,0.372,0.41200000000000003,0.42500000000000004,0.444,0.45299999999999996,0.47200000000000003,0.482,0.5,0.522,0.5399999999999999,0.602,0.608,0.6799999999999999,0.726,0.7969999999999999,0.812,1.1139999999999999,1.138,1.2309999999999999,1.34
7.5,0.7923870967741935,0.292,0.373,0.41200000000000003,0.42200000000000004,0.45799999999999996,0.471,0.48200000000000004,0.497,0.522,0.54,0.586,0.595,0.642,0.768,0.856,0.91,0.9259999999999999,1.15,1.5019999999999998,1.8599999999999999,2.714
8.0,0.6988387096774195,0.3,0.33299999999999996,0.354,0.397,0.426,0.43999999999999995,0.46399999999999997,0.47,0.48200000000000004,0.489,0.508,0.5999999999999999,0.634,0.757,0.7759999999999999,0.896,0.932,1.069,1.138,1.407,1.9340000000000002
8.5,0.6273548387096775,0.306,0.321,0.364,0.40800000000000003,0.43799999999999994,0.453,0.474,0.483,0.528,0.5529999999999999,0.584,0.649,0.672,0.6859999999999999,0.69,0.698,0.762,0.788,0.946,1.1480000000000001,1.31
9.0,0.6408387096774194,0.308,0.35,0.358,0.399,0.41200000000000003,0.41500000000000004,0.436,0.44799999999999995,0.462,0.521,0.566,0.568,0.584,0.6799999999999999,0.7120000000000001,0.784,0.9079999999999999,0.9339999999999999,1.034,1.223,1.442
9.5,0.6484516129032257,0.272,0.338,0.36,0.368,0.382,0.40800000000000003,0.434,0.45299999999999996,0.484,0.5109999999999999,0.5439999999999999,0.5800000000000001,0.6,0.657,0.7120000000000001,0.758,0.868,0.969,0.9840000000000001,1.108,2.162
10.0,0.6965161290322579,0.29,0.307,0.34600000000000003,0.356,0.38,0.398,0.41200000000000003,0.43600000000000005,0.506,0.5699999999999998,0.606,0.7239999999999999,0.818,0.879,0.898,0.9179999999999999,0.9420000000000001,0.966,1.138,1.259,1.63
10.5,0.7358709677419354,0.282,0.31799999999999995,0.336,0.387,0.402,0.424,0.47200000000000003,0.476,0.48,0.5089999999999999,0.52,0.6109999999999998,0.682,0.784,0.848,0.87,1.026,1.065,1.0759999999999998,1.483,2.8339999999999996
11.0,0.7935483870967741,0.304,0.32799999999999996,0.34600000000000003,0.371,0.38799999999999996,0.42000000000000004,0.43200000000000005,0.469,0.484,0.5539999999999999,0.58,0.6339999999999997,0.8440000000000001,0.8500000000000001,0.882,0.899,0.924,1.1320000000000001,1.206,1.9659999999999997,2.964
11.5,0.8341290322580646,0.312,0.347,0.366,0.402,0.418,0.43900000000000006,0.462,0.486,0.5,0.5359999999999999,0.58,0.7229999999999992,0.95,0.992,1.026,1.038,1.178,1.196,1.34,1.8089999999999997,2.79
12.0,0.8404516129032259,0.35600000000000004,0.396,0.426,0.456,0.46799999999999997,0.497,0.528,0.5469999999999999,0.5760000000000001,0.71,0.7739999999999999,0.8029999999999999,0.868,0.917,1.004,1.025,1.084,1.137,1.29,1.365,2.9739999999999998
12.5,0.9294193548387096,0.392,0.463,0.518,0.655,0.7020000000000001,0.716,0.748,0.76,0.774,0.804,0.8320000000000001,0.8739999999999999,0.894,0.923,1.012,1.052,1.1059999999999999,1.172,1.242,1.404,2.946
13.0,0.9633548387096772,0.478,0.525,0.606,0.673,0.722,0.7450000000000001,0.758,0.785,0.828,0.845,0.85,0.8679999999999999,0.948,0.9590000000000001,0.98,0.9910000000000001,1.03,1.046,1.048,1.8170000000000002,3.108
13.5,0.890516129032258,0.358,0.483,0.6579999999999999,0.6639999999999999,0.6759999999999999,0.694,0.71,0.747,0.8079999999999999,0.833,0.9099999999999998,0.9239999999999999,0.93,0.9410000000000001,0.9520000000000001,0.969,1.012,1.0630000000000002,1.1159999999999999,1.397,2.046
14.0,0.8536774193548385,0.446,0.46199999999999997,0.6679999999999999,0.7170000000000001,0.752,0.7669999999999999,0.79,0.793,0.804,0.8339999999999999,0.8759999999999999,0.8979999999999999,0.912,0.931,0.95,0.956,0.986,1.0310000000000001,1.05,1.0699999999999998,1.3119999999999998
14.5,0.8690967741935485,0.37200000000000005,0.46399999999999997,0.5920000000000001,0.681,0.728,0.743,0.7759999999999999,0.7869999999999999,0.8240000000000001,0.87,0.8859999999999999,0.921,0.94,0.9510000000000001,0.956,0.99,1.05,1.089,1.1059999999999999,1.1629999999999998,1.3940000000000001
15.0,0.8249032258064517,0.322,0.397,0.522,0.621,0.642,0.6719999999999999,0.688,0.742,0.768,0.7949999999999999,0.83,0.8580000000000001,0.878,0.886,0.888,0.972,1.016,1.033,1.04,1.2040000000000002,1.618
15.5,0.9996774193548387,0.39399999999999996,0.432,0.466,0.5780000000000001,0.634,0.643,0.66,0.7669999999999999,0.8340000000000001,0.856,0.878,0.9029999999999999,0.9179999999999999,0.963,1.02,1.0390000000000001,1.126,1.29,1.506,2.3179999999999996,2.9760000000000004
16.0,1.160516129032258,0.48200000000000004,0.551,0.5820000000000001,0.6659999999999999,0.75,0.815,0.848,0.88,0.902,0.909,0.932,0.9969999999999999,1.074,1.1,1.162,1.2469999999999999,1.294,1.3199999999999998,1.496,2.7399999999999998,4.004
