,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
0.0,0.4397333333333334,0.266,0.3109,0.31920000000000004,0.3476,0.366,0.38249999999999995,0.384,0.3915,0.40480000000000005,0.41519999999999996,0.43799999999999994,0.45319999999999994,0.4576,0.46849999999999997,0.4808,0.498,0.5328,0.5503,0.564,0.5859999999999999,0.612
0.5,0.4052,0.28,0.29610000000000003,0.306,0.3214,0.3336,0.3385,0.35020000000000007,0.3603,0.36560000000000004,0.3841,0.388,0.39,0.4032,0.42160000000000003,0.4286,0.4495,0.47480000000000006,0.4992,0.5114000000000002,0.596,0.616
1.0,0.3707333333333334,0.248,0.2772,0.28780000000000006,0.2967,0.30119999999999997,0.306,0.3176,0.33320000000000005,0.34720000000000006,0.36810000000000004,0.381,0.39959999999999996,0.40399999999999997,0.41080000000000005,0.41659999999999997,0.424,0.4328,0.4412,0.4526,0.46459999999999996,0.47200000000000003
1.5,0.3926000000000001,0.214,0.25680000000000003,0.3042,0.31289999999999996,0.3284,0.34199999999999997,0.35679999999999995,0.36179999999999995,0.3744,0.376,0.377,0.37989999999999996,0.39359999999999995,0.41219999999999996,0.43699999999999994,0.444,0.47200000000000003,0.4916999999999999,0.5058,0.5422,0.552
2.0,0.35579999999999995,0.0,0.23720000000000002,0.2752,0.28,0.28640000000000004,0.3165,0.3208,0.3349,0.3436,0.3505,0.367,0.37779999999999997,0.3827999999999999,0.3917,0.395,0.4065,0.4144,0.4341999999999999,0.4768,0.4982999999999999,0.526
2.5,0.3612666666666666,0.0,0.23500000000000001,0.2586,0.28829999999999995,0.3048,0.3155,0.3228,0.3287,0.3464,0.3561,0.359,0.36190000000000005,0.37839999999999996,0.3897,0.3978,0.4155,0.4244,0.42990000000000006,0.45980000000000004,0.5317999999999998,0.642
3.0,0.367,0.262,0.2707,0.2866000000000001,0.29080000000000006,0.3008,0.3065,0.315,0.32799999999999996,0.3328,0.3362,0.343,0.3479,0.35719999999999996,0.385,0.38859999999999995,0.399,0.41520000000000007,0.44399999999999995,0.4548000000000001,0.5276999999999998,0.6559999999999999
3.5,0.33646666666666664,0.182,0.2388,0.25379999999999997,0.2707,0.28,0.28900000000000003,0.3092,0.314,0.32,0.3266,0.33799999999999997,0.34369999999999995,0.3524,0.36110000000000003,0.3686,0.37750000000000006,0.3884000000000001,0.406,0.4104,0.44369999999999976,0.484
4.0,0.3338666666666667,0.228,0.24230000000000002,0.2554,0.2662,0.2772,0.2825,0.2854,0.3029,0.30920000000000003,0.31039999999999995,0.32399999999999995,0.3338,0.3408,0.3437,0.351,0.364,0.3868000000000001,0.4073,0.41280000000000006,0.45820000000000005,0.55
4.5,0.36666666666666664,0.20800000000000002,0.26189999999999997,0.2812,0.29769999999999996,0.3136,0.3205,0.3294,0.33630000000000004,0.3416,0.35240000000000005,0.361,0.3771999999999999,0.3808,0.38370000000000004,0.384,0.39749999999999996,0.4268000000000001,0.4473,0.46240000000000003,0.5037999999999999,0.526
